file	function	module	internal_path	api_path	call_count	status	internal_callers	api_callers
packages/engine/convex/domain/orchestrator/process_workflows.ts	processWorkflow	domain.orchestrator.process_workflows	internal.domain.orchestrator.process_workflows.processWorkflow	api.domain.orchestrator.process_workflows.processWorkflow	0	framework_export	-	-
packages/engine/convex/domain/orchestrator/process_workflows.ts	processQueuedJobWorkflow	domain.orchestrator.process_workflows	internal.domain.orchestrator.process_workflows.processQueuedJobWorkflow	api.domain.orchestrator.process_workflows.processQueuedJobWorkflow	1	used	packages/engine/convex/domain/orchestrator/scheduler.ts:107	-
packages/engine/convex/domain/orchestrator/process_workflows.ts	processRunningJobWorkflow	domain.orchestrator.process_workflows	internal.domain.orchestrator.process_workflows.processRunningJobWorkflow	api.domain.orchestrator.process_workflows.processRunningJobWorkflow	1	used	packages/engine/convex/domain/orchestrator/scheduler.ts:117	-
packages/engine/convex/domain/orchestrator/process_workflows.ts	processQueuedBatchWorkflow	domain.orchestrator.process_workflows	internal.domain.orchestrator.process_workflows.processQueuedBatchWorkflow	api.domain.orchestrator.process_workflows.processQueuedBatchWorkflow	1	used	packages/engine/convex/domain/orchestrator/scheduler.ts:87	-
packages/engine/convex/domain/orchestrator/process_workflows.ts	processRunningBatchWorkflow	domain.orchestrator.process_workflows	internal.domain.orchestrator.process_workflows.processRunningBatchWorkflow	api.domain.orchestrator.process_workflows.processRunningBatchWorkflow	1	used	packages/engine/convex/domain/orchestrator/scheduler.ts:97	-
packages/engine/convex/platform/providers/provider_services.ts	submitOpenAiBatchAction	platform.providers.provider_services	internal.platform.providers.provider_services.submitOpenAiBatchAction	api.platform.providers.provider_services.submitOpenAiBatchAction	1	used	packages/engine/convex/domain/llm_calls/llm_batch_service.ts:156	-
packages/engine/convex/platform/providers/provider_services.ts	pollOpenAiBatchAction	platform.providers.provider_services	internal.platform.providers.provider_services.pollOpenAiBatchAction	api.platform.providers.provider_services.pollOpenAiBatchAction	1	used	packages/engine/convex/domain/orchestrator/process_workflows.ts:160	-
packages/engine/convex/platform/providers/provider_services.ts	openAiChatAction	platform.providers.provider_services	internal.platform.providers.provider_services.openAiChatAction	api.platform.providers.provider_services.openAiChatAction	1	used	packages/engine/convex/domain/llm_calls/llm_job_service.ts:216	-
packages/engine/convex/domain/llm_calls/llm_batch_repo.ts	createLlmBatch	domain.llm_calls.llm_batch_repo	internal.domain.llm_calls.llm_batch_repo.createLlmBatch	api.domain.llm_calls.llm_batch_repo.createLlmBatch	1	used	packages/engine/convex/domain/orchestrator/base.ts:91	-
packages/engine/convex/domain/llm_calls/llm_batch_repo.ts	assignRequestsToBatch	domain.llm_calls.llm_batch_repo	internal.domain.llm_calls.llm_batch_repo.assignRequestsToBatch	api.domain.llm_calls.llm_batch_repo.assignRequestsToBatch	1	used	packages/engine/convex/domain/orchestrator/base.ts:99	-
packages/engine/convex/domain/llm_calls/llm_batch_repo.ts	listActiveBatches	domain.llm_calls.llm_batch_repo	internal.domain.llm_calls.llm_batch_repo.listActiveBatches	api.domain.llm_calls.llm_batch_repo.listActiveBatches	4	used	packages/engine/convex/domain/orchestrator/scheduler.ts:61;packages/engine/convex/tests/orchestrator_live_run.test.ts:82;packages/engine/convex/tests/orchestrator_live_run.test.ts:209;packages/engine/convex/tests/orchestrator_idempotency.test.ts:129	-
packages/engine/convex/domain/llm_calls/llm_batch_repo.ts	getBatchWithRequests	domain.llm_calls.llm_batch_repo	internal.domain.llm_calls.llm_batch_repo.getBatchWithRequests	api.domain.llm_calls.llm_batch_repo.getBatchWithRequests	3	used	packages/engine/convex/domain/orchestrator/process_workflows.ts:112;packages/engine/convex/domain/orchestrator/process_workflows.ts:151;packages/engine/convex/tests/orchestrator_live_run.test.ts:124	-
packages/engine/convex/domain/llm_calls/llm_batch_repo.ts	patchBatch	domain.llm_calls.llm_batch_repo	internal.domain.llm_calls.llm_batch_repo.patchBatch	api.domain.llm_calls.llm_batch_repo.patchBatch	8	used	packages/engine/convex/domain/llm_calls/llm_batch_service.ts:24;packages/engine/convex/domain/llm_calls/llm_batch_service.ts:38;packages/engine/convex/domain/llm_calls/llm_batch_service.ts:58;packages/engine/convex/domain/llm_calls/llm_batch_service.ts:78;packages/engine/convex/domain/llm_calls/llm_batch_service.ts:94;packages/engine/convex/domain/llm_calls/llm_batch_service.ts:109;packages/engine/convex/tests/orchestrator_idempotency.test.ts:187;packages/engine/convex/tests/orchestrator_idempotency.test.ts:284	-
packages/engine/convex/domain/runs/run_service.ts	startRunFlow	domain.runs.run_service	internal.domain.runs.run_service.startRunFlow	api.domain.runs.run_service.startRunFlow	4	used	packages/engine/convex/tests/orchestrator_idempotency.test.ts:170;packages/engine/convex/tests/orchestrator_idempotency.test.ts:265;packages/engine/convex/packages/lab.ts:223;packages/engine/convex/tests/orchestrator_live_run.test.ts:195	-
packages/engine/convex/domain/runs/run_service.ts	applyRequestResult	domain.runs.run_service	internal.domain.runs.run_service.applyRequestResult	api.domain.runs.run_service.applyRequestResult	1	used	packages/engine/convex/domain/orchestrator/target_registry.ts:17	-
packages/engine/convex/domain/runs/run_service.ts	handleRequestError	domain.runs.run_service	internal.domain.runs.run_service.handleRequestError	api.domain.runs.run_service.handleRequestError	1	used	packages/engine/convex/domain/orchestrator/target_registry.ts:27	-
packages/engine/convex/domain/runs/run_service.ts	requeueRunRequest	domain.runs.run_service	internal.domain.runs.run_service.requeueRunRequest	api.domain.runs.run_service.requeueRunRequest	1	used	packages/engine/convex/domain/orchestrator/target_registry.ts:22	-
packages/engine/convex/domain/orchestrator/scheduler.ts	requeueRequest	domain.orchestrator.scheduler	internal.domain.orchestrator.scheduler.requeueRequest	api.domain.orchestrator.scheduler.requeueRequest	1	used	packages/engine/convex/domain/llm_calls/llm_batch_service.ts:265	-
packages/engine/convex/domain/orchestrator/scheduler.ts	startScheduler	domain.orchestrator.scheduler	internal.domain.orchestrator.scheduler.startScheduler	api.domain.orchestrator.scheduler.startScheduler	2	used	packages/engine/convex/packages/lab.ts:71;packages/engine/convex/packages/lab.ts:227	-
packages/engine/convex/domain/orchestrator/scheduler.ts	runScheduler	domain.orchestrator.scheduler	internal.domain.orchestrator.scheduler.runScheduler	api.domain.orchestrator.scheduler.runScheduler	2	used	packages/engine/convex/domain/orchestrator/scheduler.ts:49;packages/engine/convex/domain/orchestrator/scheduler.ts:125	-
packages/engine/convex/domain/llm_calls/llm_job_repo.ts	createLlmJob	domain.llm_calls.llm_job_repo	internal.domain.llm_calls.llm_job_repo.createLlmJob	api.domain.llm_calls.llm_job_repo.createLlmJob	3	used	packages/engine/convex/domain/orchestrator/base.ts:116;packages/engine/convex/domain/runs/run_service.ts:286;packages/engine/convex/domain/window/window_service.ts:171	-
packages/engine/convex/domain/llm_calls/llm_job_repo.ts	assignRequestsToJob	domain.llm_calls.llm_job_repo	internal.domain.llm_calls.llm_job_repo.assignRequestsToJob	api.domain.llm_calls.llm_job_repo.assignRequestsToJob	2	used	packages/engine/convex/domain/orchestrator/base.ts:124;packages/engine/convex/domain/llm_calls/llm_job_service.ts:146	-
packages/engine/convex/domain/llm_calls/llm_job_repo.ts	listActiveJobs	domain.llm_calls.llm_job_repo	internal.domain.llm_calls.llm_job_repo.listActiveJobs	api.domain.llm_calls.llm_job_repo.listActiveJobs	2	used	packages/engine/convex/domain/orchestrator/scheduler.ts:66;packages/engine/convex/tests/orchestrator_live_run.test.ts:98	-
packages/engine/convex/domain/llm_calls/llm_job_repo.ts	getJobWithRequests	domain.llm_calls.llm_job_repo	internal.domain.llm_calls.llm_job_repo.getJobWithRequests	api.domain.llm_calls.llm_job_repo.getJobWithRequests	3	used	packages/engine/convex/domain/orchestrator/process_workflows.ts:49;packages/engine/convex/domain/orchestrator/process_workflows.ts:81;packages/engine/convex/tests/orchestrator_live_run.test.ts:151	-
packages/engine/convex/domain/llm_calls/llm_job_repo.ts	patchJob	domain.llm_calls.llm_job_repo	internal.domain.llm_calls.llm_job_repo.patchJob	api.domain.llm_calls.llm_job_repo.patchJob	3	used	packages/engine/convex/domain/llm_calls/llm_job_service.ts:23;packages/engine/convex/domain/llm_calls/llm_job_service.ts:39;packages/engine/convex/domain/llm_calls/llm_job_service.ts:58	-
packages/engine/convex/domain/runs/experiments_data.ts	listExperiments	domain.runs.experiments_data	internal.domain.runs.experiments_data.listExperiments	api.domain.runs.experiments_data.listExperiments	1	used	packages/engine/convex/packages/lab.ts:263	-
