snapshot_id,evidence_set_item_id,evidence_item_id,evidence_view_id,experiment_id,experiment_tag,run_id,evidence_source_kind,evidence_set_tag,label,title,url,source_name,publish_date,ordinal,domain
00d906a02c1c4e1b98d672590879e167,p97fzxvfg31j95sbtac5t8r0fs83s0nh,nx72tw0yxww0fepqe0mek396mh83spwj,,jh7cgerqjydvgfhvx5e26tg2zx83sfnm,v4_native_fascism_baseline_source_gpt41,kx760t5xs6t7gvzskmt56d76fd83r56x,evidence_set,v4_native_concepts_shared_v1_set,E1,Star Wars' most underrated era returns in new comic book series,https://www.polygon.com/star-wars-high-republic-pathfinders-comic-dark-horse/,polygon.com,2026-03-26,0,www.polygon.com
00d906a02c1c4e1b98d672590879e167,p97bskwczs0geyacqzr434507d83r2eb,nx748wvagcz83r3zjvqax147nx83rdvn,,jh7cgerqjydvgfhvx5e26tg2zx83sfnm,v4_native_fascism_baseline_source_gpt41,kx760t5xs6t7gvzskmt56d76fd83r56x,evidence_set,v4_native_concepts_shared_v1_set,E2,Joanna Lydgate talks democracy and raising kids with Maura Healey at Globe’s Working Mothers Summit,https://www.bostonglobe.com/2026/03/26/metro/joanna-lydgate-maura-healey-working-mother-ssummit/,bostonglobe.com,2026-03-26,1,www.bostonglobe.com
00d906a02c1c4e1b98d672590879e167,p97evd158p9w3g6jbkxj4v9ghd83r7md,nx73vvjpzr46tbf3pes036t1zn83sk7y,,jh7cgerqjydvgfhvx5e26tg2zx83sfnm,v4_native_fascism_baseline_source_gpt41,kx760t5xs6t7gvzskmt56d76fd83r56x,evidence_set,v4_native_concepts_shared_v1_set,E3,Anarchist Speaking Tour Will Explore How Anti-ICE Rioters Defeated 'Fascism' In Minnesota,https://dailycaller.com/2026/03/25/anarchist-leftist-speaking-tour-anti-ice-riots-minnesota-fascism-border-patrol/,dailycaller.com,2026-03-25,2,dailycaller.com
00d906a02c1c4e1b98d672590879e167,p97ev63ybgry9mw8yppjpx3mc583rwcg,nx795qwfa0zns0z2zcgmmcy9qx83syhy,,jh7cgerqjydvgfhvx5e26tg2zx83sfnm,v4_native_fascism_baseline_source_gpt41,kx760t5xs6t7gvzskmt56d76fd83r56x,evidence_set,v4_native_concepts_shared_v1_set,E4,Letter: Fascism is not easy to excise once it sets in,https://www.berkshireeagle.com/opinion/letters_to_editor/letter-fascism-is-not-easy-to-excise-once-it-sets-in/article_ad0da7b6-0471-46d3-9980-5eb4478b2376.html,berkshireeagle.com,2026-03-24,3,www.berkshireeagle.com
00d906a02c1c4e1b98d672590879e167,p9707zb7nbrdebq8nsrnph8afs83sgfa,nx7f3a0r3mrjdv8j9xn9gq5a8583rh80,,jh7cgerqjydvgfhvx5e26tg2zx83sfnm,v4_native_fascism_baseline_source_gpt41,kx760t5xs6t7gvzskmt56d76fd83r56x,evidence_set,v4_native_concepts_shared_v1_set,E5,Kim Gordon Is at the Height of Her Powers on 'Play Me' » PopMatters,https://www.popmatters.com/kim-gordon-play-me,popmatters.com,2026-03-23,4,www.popmatters.com
00d906a02c1c4e1b98d672590879e167,p9771y8jpnkhbzhvjqzjwcxtt183sw0r,nx75711134efev3z5448dk85ds83s3zp,,jh7cgerqjydvgfhvx5e26tg2zx83sfnm,v4_native_fascism_baseline_source_gpt41,kx760t5xs6t7gvzskmt56d76fd83r56x,evidence_set,v4_native_concepts_shared_v1_set,E6,‘The Correspondent’ is the top local fiction bestseller,https://www.seattletimes.com/entertainment/books/the-correspondent-is-the-top-local-fiction-bestseller-12/,seattletimes.com,2026-03-22,5,www.seattletimes.com
00d906a02c1c4e1b98d672590879e167,p971mkpp2q5mydb6wws69xv44n83s4ep,nx76xefxvabg08e0dddn5kx4sh83rnpn,,jh7cgerqjydvgfhvx5e26tg2zx83sfnm,v4_native_fascism_baseline_source_gpt41,kx760t5xs6t7gvzskmt56d76fd83r56x,evidence_set,v4_native_concepts_shared_v1_set,E7,Trump Labeled ‘Demented Narcissist’ By His Former White House Lawyer For Celebrating Mueller’s Death,https://www.huffpost.com/entry/ty-cobb-demented-narcissist-trump-over-robert-mueller-death-post_n_69bf091ce4b0284f9be0b723,huffpost.com,2026-03-21,6,www.huffpost.com
00d906a02c1c4e1b98d672590879e167,p97apbec4x9v8q7qvd2c7c667183rgb1,nx75qh183cv1hdxyqsc5jt8rnn83rjts,,jh7cgerqjydvgfhvx5e26tg2zx83sfnm,v4_native_fascism_baseline_source_gpt41,kx760t5xs6t7gvzskmt56d76fd83r56x,evidence_set,v4_native_concepts_shared_v1_set,E8,How Angela Davis Predicted The Modern Face Of Fascism in 1971,https://www.theroot.com/how-angela-davis-predicted-the-modern-face-of-fascism-i-2000095933?utm_source=rss&utm_medium=rss&utm_campaign=how-angela-davis-predicted-the-modern-face-of-fascism-i-2000095933,theroot.com,2026-03-20,7,www.theroot.com
00d906a02c1c4e1b98d672590879e167,p97c9hxzz4fn4rdx56qcs4cy3x83rkvk,nx7ccw5jrz2jrm862e6e3pjfsh83sx9k,,jh7cgerqjydvgfhvx5e26tg2zx83sfnm,v4_native_fascism_baseline_source_gpt41,kx760t5xs6t7gvzskmt56d76fd83r56x,evidence_set,v4_native_concepts_shared_v1_set,E9,Naomi Klein on the Fascism of Elite Backlash,https://www.nytimes.com/video/opinion/100000010732750/naomi-klein-on-the-fascism-of-elite-backlash.html,nytimes.com,2026-03-20,8,www.nytimes.com
00d906a02c1c4e1b98d672590879e167,p979vzqd9x02wrzwgwejdgb9dd83s3vy,nx76be3z0krry1kcjt23pe2b6183r8wh,,jh7cgerqjydvgfhvx5e26tg2zx83sfnm,v4_native_fascism_baseline_source_gpt41,kx760t5xs6t7gvzskmt56d76fd83r56x,evidence_set,v4_native_concepts_shared_v1_set,E10,'I Don't Understand': Fetterman Says His Support for Trump's Iran Actions Has 'Isolated' Him,https://www.breitbart.com/clips/2026/03/18/i-dont-understand-fetterman-says-his-support-for-trumps-iran-actions-has-isolated-him/,breitbart.com,2026-03-18,9,www.breitbart.com
